date,temperature
2022-01-01,5.0
2022-01-02,7.0
2022-01-03,3.8
2022-01-04,2.6
2022-01-05,1.8
2022-01-06,0.3
2022-01-07,3.2
2022-01-08,2.1
2022-01-09,1.7
2022-01-10,3.9
2022-01-11,5.0
2022-01-12,7.1
2022-01-13,7.3
2022-01-14,2.8
2022-01-15,2.9
2022-01-16,3.9
2022-01-17,1.9
2022-01-18,5.0
2022-01-19,2.5
2022-01-20,-0.5
2022-01-21,3.8
2022-01-22,6.3
2022-01-23,6.4
2022-01-24,4.8
2022-01-25,4.5
2022-01-26,4.5
2022-01-27,4.1
2022-01-28,2.8
2022-01-29,5.5
2022-01-30,1.7
2022-01-31,-0.0
2022-02-01,1.9
2022-02-02,1.0
2022-02-03,4.3
2022-02-04,2.3
2022-02-05,2.1
2022-02-06,1.5
2022-02-07,3.3
2022-02-08,4.2
2022-02-09,3.1
2022-02-10,1.2
2022-02-11,0.2
2022-02-12,4.6
2022-02-13,5.8
2022-02-14,3.7
2022-02-15,2.7
2022-02-16,3.0
2022-02-17,1.8
2022-02-18,1.9
2022-02-19,-0.3
2022-02-20,0.9
2022-02-21,2.3
2022-02-22,0.5
2022-02-23,3.8
2022-02-24,3.1
2022-02-25,2.5
2022-02-26,4.1
2022-02-27,5.4
2022-02-28,4.5
2022-03-01,4.1
2022-03-02,4.4
2022-03-03,6.4
2022-03-04,3.9
2022-03-05,2.2
2022-03-06,2.5
2022-03-07,3.4
2022-03-08,4.3
2022-03-09,7.3
2022-03-10,8.2
2022-03-11,9.4
2022-03-12,8.7
2022-03-13,9.0
2022-03-14,8.9
2022-03-15,5.6
2022-03-16,6.7
2022-03-17,5.3
2022-03-18,5.3
2022-03-19,5.1
2022-03-20,5.5
2022-03-21,5.9
2022-03-22,4.5
2022-03-23,5.6
2022-03-24,7.0
2022-03-25,6.3
2022-03-26,4.3
2022-03-27,6.1
2022-03-28,4.2
2022-03-29,1.4
2022-03-30,1.3
2022-03-31,1.4
2022-04-01,1.5
2022-04-02,1.3
2022-04-03,3.4
2022-04-04,2.7
2022-04-05,1.5
2022-04-06,2.3
2022-04-07,2.3
2022-04-08,2.2
2022-04-09,2.7
2022-04-10,2.7
2022-04-11,3.0
2022-04-12,5.1
2022-04-13,5.3
2022-04-14,7.1
2022-04-15,7.0
2022-04-16,6.1
2022-04-17,8.3
2022-04-18,10.6
2022-04-19,8.0
2022-04-20,10.0
2022-04-21,13.1
2022-04-22,13.7
2022-04-23,13.4
2022-04-24,8.7
2022-04-25,7.3
2022-04-26,7.6
2022-04-27,5.1
2022-04-28,6.9
2022-04-29,7.2
2022-04-30,7.1
2022-05-01,6.8
2022-05-02,5.8
2022-05-03,5.4
2022-05-04,5.6
2022-05-05,8.1
2022-05-06,7.9
2022-05-07,5.3
2022-05-08,6.8
2022-05-09,9.2
2022-05-10,9.0
2022-05-11,8.6
2022-05-12,8.3
2022-05-13,7.8
2022-05-14,7.7
2022-05-15,10.1
2022-05-16,12.6
