date,temperature
2015-01-01,7.2
2015-01-02,4.4
2015-01-03,2.1
2015-01-04,1.3
2015-01-05,3.8
2015-01-06,5.2
2015-01-07,4.2
2015-01-08,4.4
2015-01-09,3.2
2015-01-10,4.0
2015-01-11,3.4
2015-01-12,4.7
2015-01-13,4.0
2015-01-14,3.3
2015-01-15,4.0
2015-01-16,3.7
2015-01-17,3.2
2015-01-18,1.4
2015-01-19,0.2
2015-01-20,0.9
2015-01-21,0.2
2015-01-22,-1.3
2015-01-23,1.6
2015-01-24,1.9
2015-01-25,3.0
2015-01-26,3.2
2015-01-27,4.4
2015-01-28,4.1
2015-01-29,1.4
2015-01-30,0.9
2015-01-31,0.3
2015-02-01,-2.2
2015-02-02,-1.3
2015-02-03,-1.7
2015-02-04,-2.5
2015-02-05,0.3
2015-02-06,2.7
2015-02-07,2.6
2015-02-08,3.3
2015-02-09,5.2
2015-02-10,5.9
2015-02-11,4.0
2015-02-12,4.2
2015-02-13,3.3
2015-02-14,4.3
2015-02-15,4.3
2015-02-16,4.1
2015-02-17,3.7
2015-02-18,6.5
2015-02-19,6.2
2015-02-20,2.9
2015-02-21,1.8
2015-02-22,1.3
2015-02-23,2.7
2015-02-24,3.5
2015-02-25,4.4
2015-02-26,3.1
2015-02-27,3.9
2015-02-28,4.3
2015-03-01,4.6
2015-03-02,3.3
2015-03-03,1.5
2015-03-04,1.8
2015-03-05,4.1
2015-03-06,5.1
2015-03-07,6.5
2015-03-08,5.5
2015-03-09,4.4
2015-03-10,5.5
2015-03-11,4.3
2015-03-12,4.4
2015-03-13,5.0
2015-03-14,2.9
2015-03-15,4.0
2015-03-16,6.8
2015-03-17,7.9
2015-03-18,7.3
2015-03-19,5.4
2015-03-20,5.2
2015-03-21,3.5
2015-03-22,3.2
2015-03-23,4.6
2015-03-24,3.5
2015-03-25,4.0
2015-03-26,3.0
2015-03-27,3.8
2015-03-28,4.2
2015-03-29,4.9
2015-04-07,6.9
2015-04-08,5.7
2015-04-09,5.4
2015-04-10,6.0
2015-04-11,5.9
2015-04-12,3.9
2015-04-13,3.7
2015-04-14,5.8
2015-04-15,6.1
2015-04-16,4.2
2015-04-17,5.7
2015-04-18,6.6
2015-04-19,9.3
2015-04-20,9.2
2015-04-21,5.7
2015-04-22,8.5
2015-04-23,6.5
2015-04-24,4.6
2015-04-25,4.7
2015-04-26,5.4
2015-04-27,5.2
2015-04-28,5.1
2015-04-29,5.9
2015-04-30,4.7
2015-05-01,1.6
2015-05-03,8.1
2015-05-04,8.4
2015-05-05,10.7
2015-05-06,10.5
2015-05-07,6.3
2015-05-08,5.9
2015-05-09,6.6
2015-05-10,7.4
2015-05-11,8.5
2015-05-12,8.5
2015-05-13,8.7
2015-05-14,7.7
2015-05-15,7.6
2015-05-16,7.1
2015-05-17,6.4
2015-05-18,9.1
2015-05-19,8.2
2015-05-20,8.9
2015-05-21,7.3
2015-05-22,7.4
2015-05-23,6.7
2015-05-24,6.8
2015-05-25,8.1
2015-05-26,6.8
2015-06-01,8.0
2015-06-02,7.5
2015-06-03,8.9
2015-06-04,9.1
2015-06-05,11.6
2015-06-06,10.9
2015-06-07,8.4
2015-06-08,8.6
2015-06-09,9.2
2015-06-10,9.3
2015-06-11,9.9
2015-06-12,10.1
2015-06-13,8.7
2015-06-14,7.0
2015-06-15,7.8
2015-06-16,9.2
2015-06-17,9.1
2015-06-18,10.0
2015-06-19,6.8
2015-06-20,8.1
2015-06-21,9.2
2015-06-22,12.0
2015-06-23,9.1
2015-06-24,10.6
2015-06-25,9.9
2015-06-26,10.8
2015-06-27,13.9
2015-06-28,13.2
2015-06-29,9.5
2015-06-30,7.6
2015-07-01,14.2
2015-07-02,22.1
2015-07-03,15.2
2015-07-04,16.1
2015-07-05,16.2
2015-08-03,18.0
2015-08-04,16.1
2015-08-05,15.1
2015-08-06,15.3
2015-08-07,13.6
2015-08-08,14.1
2015-08-09,14.0
2015-08-10,15.6
2015-08-11,12.9
2015-08-12,12.2
2015-08-13,13.6
2015-08-14,19.4
2015-08-15,16.6
2015-08-16,15.4
2015-08-17,16.6
2015-08-18,20.3
2015-08-19,20.4
2015-08-20,18.0
2015-08-21,19.4
2015-08-22,18.7
2015-08-23,20.9
2015-08-24,20.4
2015-08-25,17.5
2015-08-26,14.5
2015-08-27,14.1
2015-08-28,13.0
2015-08-29,13.6
2015-08-30,14.4
2015-08-31,14.3
2015-09-01,13.9
2015-09-02,13.7
2015-09-03,15.5
2015-09-04,11.8
2015-09-05,10.8
2015-09-06,9.6
2015-09-07,12.2
2015-09-09,14.0
2015-09-10,13.4
2015-09-11,15.0
2015-09-12,16.2
2015-09-13,13.6
2015-09-14,16.7
2015-09-15,14.0
2015-09-16,13.4
2015-09-17,13.9
2015-09-18,11.7
2015-09-19,10.3
2015-09-20,9.9
2015-09-21,9.4
2015-09-22,11.2
2015-09-23,13.0
2015-09-24,10.8
2015-09-25,8.9
2015-09-26,9.5
2015-09-27,10.2
2015-09-28,11.5
2015-09-29,12.4
2015-09-30,10.7
2015-10-01,10.1
2015-10-02,9.8
2015-10-03,9.1
2015-10-04,10.1
2015-10-05,10.5
2015-10-06,14.2
2015-10-07,11.1
2015-10-08,9.8
2015-10-09,9.7
2015-10-10,9.8
2015-10-11,9.6
2015-10-12,8.9
2015-10-13,7.4
2015-10-14,7.2
2015-10-15,7.6
2015-10-16,6.7
2015-10-17,7.7
2015-10-18,7.8
2015-10-19,7.4
2015-10-20,7.5
2015-10-21,9.0
2015-10-22,10.3
2015-10-23,9.3
2015-10-24,8.4
2015-10-25,6.9
2015-10-26,8.8
2015-10-27,8.9
2015-10-28,6.3
2015-10-29,4.4
2015-10-30,10.9
2015-10-31,11.1
2015-11-01,10.1
2015-11-02,10.6
2015-11-03,9.9
2015-11-04,9.1
2015-11-05,7.9
2015-11-06,12.4
2015-11-07,8.9
2015-11-08,7.7
2015-11-09,8.1
2015-11-10,8.1
2015-11-11,8.2
2015-11-12,7.5
2015-11-13,6.5
2015-11-14,6.4
2015-11-15,6.2
2015-11-16,6.0
2015-11-17,6.4
2015-11-18,6.2
2015-11-19,3.0
2015-11-20,0.2
2015-11-21,-1.0
2015-11-22,-2.4
2015-11-23,2.9
2015-11-24,5.0
2015-11-25,2.6
2015-11-26,4.8
2015-11-27,7.8
2015-11-28,2.8
2015-11-29,2.7
2015-11-30,3.1
2015-12-01,3.5
2015-12-02,5.5
2015-12-03,4.5
2015-12-04,5.5
2015-12-05,7.5
2015-12-06,5.6
2015-12-07,4.5
2015-12-08,9.1
2015-12-09,6.5
2015-12-10,6.0
2015-12-11,3.3
2015-12-12,1.8
2015-12-13,0.5
2015-12-14,1.2
2015-12-15,-0.1
2015-12-16,4.0
2015-12-17,8.0
2015-12-18,8.7
2015-12-19,9.5
2015-12-20,9.1
2015-12-21,6.5
2015-12-22,6.8
2015-12-23,6.8
2015-12-24,7.1
2015-12-25,3.9
2015-12-26,-2.0
2015-12-27,-0.8
2015-12-28,1.9
2015-12-29,6.7
2015-12-30,8.6
