date,temperature
2018-01-01,3.5
2018-01-02,2.3
2018-01-03,2.3
2018-01-04,0.2
2018-01-05,-0.9
2018-01-06,-1.7
2018-01-07,1.8
2018-01-08,3.2
2018-01-09,5.5
2018-01-10,5.4
2018-01-11,4.3
2018-01-12,2.5
2018-01-13,0.6
2018-01-14,1.9
2018-01-15,2.5
2018-01-16,0.7
2018-01-17,0.2
2018-01-18,0.4
2018-01-19,0.4
2018-01-20,1.7
2018-01-21,0.5
2018-01-22,1.9
2018-01-23,3.7
2018-01-24,5.2
2018-01-25,4.4
2018-01-26,0.9
2018-01-27,1.9
2018-01-28,4.8
2018-01-29,2.8
2018-01-30,3.4
2018-01-31,1.8
2018-02-01,1.0
2018-02-02,0.8
2018-02-03,-1.3
2018-02-04,-2.5
2018-02-05,-0.4
2018-02-06,-1.1
2018-02-07,-0.2
2018-02-08,1.8
2018-02-09,2.2
2018-02-10,1.7
2018-02-11,0.5
2018-02-12,-0.7
2018-02-13,1.8
2018-02-14,2.2
2018-02-15,1.9
2018-02-16,1.8
2018-02-17,3.1
2018-02-18,2.0
2018-02-19,0.5
2018-02-20,0.4
2018-02-21,0.7
2018-02-22,-0.6
2018-02-23,0.7
2018-02-24,1.4
2018-02-25,0.0
2018-02-26,-1.4
2018-02-27,-6.1
2018-02-28,-9.1
2018-03-01,-8.2
2018-03-02,-5.2
2018-03-03,-2.3
2018-03-04,-1.7
2018-03-05,-2.3
2018-03-06,-1.8
2018-03-07,0.9
2018-03-08,1.4
2018-03-09,0.5
2018-03-10,1.9
2018-03-11,1.5
2018-03-12,1.3
2018-03-13,0.4
2018-03-14,2.4
2018-03-15,0.9
2018-03-16,-2.2
2018-03-17,-3.0
2018-03-18,-2.4
2018-03-19,1.8
2018-03-20,1.3
2018-03-21,1.2
2018-03-22,1.5
2018-03-23,3.7
2018-03-24,5.0
2018-03-25,3.9
2018-03-26,3.4
2018-03-27,0.5
2018-03-28,-0.1
2018-03-29,-0.8
2018-03-30,-0.1
2018-03-31,-0.0
2018-04-01,-1.1
2018-04-02,0.5
2018-04-03,0.7
2018-04-04,2.0
2018-04-05,1.4
2018-04-06,3.1
2018-04-07,6.3
2018-04-08,5.6
2018-04-09,5.1
2018-04-10,6.1
2018-04-11,8.3
2018-04-12,8.9
2018-04-13,11.1
2018-04-14,11.2
2018-04-15,11.1
2018-04-16,8.0
2018-04-17,9.0
2018-04-18,9.2
2018-04-19,13.0
2018-04-20,8.4
2018-04-21,7.7
2018-04-22,7.8
2018-04-23,6.6
2018-04-24,6.3
2018-04-25,6.1
2018-04-26,6.2
2018-04-27,6.1
2018-04-28,5.2
2018-04-29,5.8
2018-04-30,9.5
2018-05-01,7.6
2018-05-02,8.9
2018-05-03,7.2
2018-05-04,7.1
2018-05-05,10.2
2018-05-06,9.9
2018-05-07,11.5
2018-05-08,17.5
2018-05-09,15.2
2018-05-10,9.2
2018-05-11,9.3
2018-05-12,11.0
2018-05-13,15.0
2018-05-14,14.8
2018-05-15,15.2
2018-05-16,9.7
2018-05-17,9.1
2018-05-18,10.2
2018-05-19,12.5
